STATE_NAME,Lg_Dist_Code,DISTRICT_NAME,MICRO_MANUFACTURING,SMALL_MANUFACTURING,MEDIUM_MANUFACTURING,TOTAL_MANUFACTURING,MICRO_SERVICE,SMALL_SERVICE,MEDIUM_SERVICE,TOTAL_SERVICE,TOTAL
ANDHRA PRADESH,745,Alluri Sitharama Raju,1418,4,NA,1422,405,5,NA,410,1832
ANDHRA PRADESH,744,Anakapalli,7908,86,2,7996,2875,26,2,2903,10899
ANDHRA PRADESH,502,ANANTHAPUR,33925,633,24,34582,10470,358,32,10860,45442
ANDHRA PRADESH,753,Annamayya,9035,96,4,9135,2986,19,NA,3005,12140
ANDHRA PRADESH,750,Bapatla,8631,92,1,8724,2206,23,3,2232,10956
ANDHRA PRADESH,503,CHITOOR,26870,692,28,27590,8756,359,37,9152,36742
ANDHRA PRADESH,505,EAST GODAVARI,34655,1213,85,35953,9961,648,96,10705,46658
ANDHRA PRADESH,748,Eluru,11597,133,5,11735,2636,58,3,2697,14432
ANDHRA PRADESH,506,GUNTUR,37169,1255,90,38514,10154,1336,157,11647,50161
ANDHRA PRADESH,746,Kakinada,11978,153,10,12141,2608,48,2,2658,14799
ANDHRA PRADESH,747,Konaseema,9654,130,5,9789,3148,31,6,3185,12974
ANDHRA PRADESH,510,KRISHNA,41521,1732,129,43382,11711,908,101,12720,56102
ANDHRA PRADESH,511,KURNOOL,31673,736,31,32440,6286,307,34,6627,39067
ANDHRA PRADESH,755,Nandyal,11085,115,2,11202,1975,22,1,1998,13200
ANDHRA PRADESH,749,NTR,14001,200,8,14209,3842,71,7,3920,18129
ANDHRA PRADESH,751,Palnadu,10047,111,1,10159,2012,48,2,2062,12221
ANDHRA PRADESH,743,Parvathipuram Manyam,2525,28,1,2554,525,14,NA,539,3093
ANDHRA PRADESH,517,PRAKASAM,26333,624,16,26973,7151,389,45,7585,34558
ANDHRA PRADESH,515,SPSR NELLORE,30251,819,45,31115,7996,467,49,8512,39627
ANDHRA PRADESH,754,Sri Sathya Sai,7968,66,2,8036,5523,38,1,5562,13598
ANDHRA PRADESH,519,SRIKAKULAM,15977,397,10,16384,4833,221,15,5069,21453
ANDHRA PRADESH,752,Tirupati,13134,130,6,13270,4176,43,4,4223,17493
ANDHRA PRADESH,520,VISAKHAPATNAM,40901,1648,124,42673,8279,660,110,9049,51722
ANDHRA PRADESH,521,VIZIANAGARAM,15833,322,8,16163,3197,155,20,3372,19535
ANDHRA PRADESH,523,WEST GODAVARI,34147,1338,126,35611,7794,696,76,8566,44177
ANDHRA PRADESH,504,Y.S.R,25101,608,13,25722,5845,282,22,6149,31871
ARUNACHAL PRADESH,628,ANJAW,56,NA,NA,56,21,NA,NA,21,77
ARUNACHAL PRADESH,229,CHANGLANG,324,4,NA,328,309,12,NA,321,649
ARUNACHAL PRADESH,230,DIBANG VALLEY,54,1,NA,55,13,NA,NA,13,68
ARUNACHAL PRADESH,231,EAST KAMENG,151,5,NA,156,61,NA,NA,61,217
ARUNACHAL PRADESH,232,EAST SIANG,424,10,NA,434,159,7,NA,166,600
ARUNACHAL PRADESH,718,KAMLE,70,NA,NA,70,38,NA,NA,38,108
ARUNACHAL PRADESH,677,KRA DAADI,65,NA,NA,65,28,1,NA,29,94
ARUNACHAL PRADESH,233,KURUNG KUMEY,85,1,NA,86,30,NA,NA,30,116
ARUNACHAL PRADESH,724,LEPARADA,70,NA,NA,70,26,NA,NA,26,96
ARUNACHAL PRADESH,234,LOHIT,304,6,NA,310,133,7,NA,140,450
ARUNACHAL PRADESH,666,LONGDING,75,3,NA,78,35,NA,NA,35,113
ARUNACHAL PRADESH,235,LOWER DIBANG VALLEY,255,4,NA,259,88,2,NA,90,349
ARUNACHAL PRADESH,719,LOWER SIANG,59,1,NA,60,42,2,NA,44,104
ARUNACHAL PRADESH,236,LOWER SUBANSIRI,437,8,1,446,336,1,NA,337,783
ARUNACHAL PRADESH,678,NAMSAI,316,2,NA,318,148,2,NA,150,468
ARUNACHAL PRADESH,723,PAKKE KESSANG,28,NA,NA,28,16,NA,NA,16,44
ARUNACHAL PRADESH,237,PAPUM PARE,2638,105,10,2753,902,39,6,947,3700
ARUNACHAL PRADESH,725,SHI YOMI,26,NA,NA,26,4,NA,NA,4,30
ARUNACHAL PRADESH,679,SIANG,46,NA,NA,46,26,1,1,28,74
ARUNACHAL PRADESH,238,TAWANG,244,5,NA,249,96,3,1,100,349
ARUNACHAL PRADESH,239,TIRAP,103,2,NA,105,44,2,NA,46,151
ARUNACHAL PRADESH,240,UPPER SIANG,64,3,NA,67,34,1,NA,35,102
ARUNACHAL PRADESH,241,UPPER SUBANSIRI,220,6,NA,226,58,NA,NA,58,284
ARUNACHAL PRADESH,242,WEST KAMENG,623,7,NA,630,136,8,NA,144,774
ARUNACHAL PRADESH,243,WEST SIANG,269,8,NA,277,95,6,NA,101,378
ASSAM,739,BAJALI,719,8,NA,727,345,1,NA,346,1073
ASSAM,616,BAKSA,4115,26,2,4143,2245,10,1,2256,6399
ASSAM,280,BARPETA,9840,162,8,10010,6752,45,1,6798,16808
